name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист по программно-аппаратной поддержке,35000.0,,RUR,Тюмень,2022-12-05T09:14:36+0300
Менеджер по ценообразованию,36000.0,36000.0,RUR,Челябинск,2022-12-05T09:51:50+0300
Системный аналитик,100000.0,,RUR,Санкт-Петербург,2022-12-05T11:04:48+0300
Наладчик (оператор) станков с ЧПУ,100000.0,150000.0,RUR,Екатеринбург,2022-12-05T06:40:42+0300
Web-разработчик PHP JavaScript,150000.0,300000.0,RUR,Москва,2022-12-05T10:55:15+0300
Ведущий консультант 1С ТОРО,120000.0,200000.0,RUR,Санкт-Петербург,2022-12-05T10:18:19+0300
Копирайтер,,30000.0,RUR,Краснодар,2022-12-05T09:05:19+0300
Инженер по ремонту компьютерного оборудования и принтеров (Сервисный центр),185000.0,235000.0,KZT,Астана,2022-12-05T06:10:45+0300
Механик ремонтной мастерской,124000.0,124000.0,RUR,Уфа,2022-12-05T11:58:01+0300
Оператор станка с ЧПУ,45000.0,,RUR,Киров (Кировская область),2022-12-05T11:00:10+0300
Установщик систем мониторинга,100000.0,,RUR,Благовещенск (Амурская область),2022-12-05T11:53:51+0300
Механизатор импортной сельхозтехники (категории DF),60000.0,150000.0,RUR,Ребриха,2022-12-05T10:39:38+0300
Программист,60000.0,100000.0,RUR,Усть-Большерецк,2022-12-05T06:29:21+0300
Корреспондент службы новостей,35000.0,38000.0,RUR,Уфа,2022-12-05T09:38:31+0300
Токарь-универсал 5 разряда,132000.0,147000.0,RUR,Новосибирск,2022-12-05T08:44:17+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Муром,2022-12-05T07:38:50+0300
Выездной мастер по ремонту холодильников,50000.0,,RUR,Калуга,2022-12-05T07:09:54+0300
Ведущий консультант-аналитик 1C,180000.0,,RUR,Москва,2022-12-05T10:53:36+0300
Frontend developer (React+ Redux) (Офис),,50000.0,RUR,Томск,2022-12-05T08:16:38+0300
Программист Python,125000.0,243000.0,RUR,Кострома,2022-12-05T08:58:55+0300
Инженер-программист (PHP / HTML),1500.0,,BYR,Минск,2022-12-05T08:45:17+0300
Менеджер проектов,80000.0,,RUR,Москва,2022-12-05T07:36:23+0300
Оператор-наладчик,,60000.0,RUR,Серпухов,2022-12-05T09:02:32+0300
Помощник системного администратора,45000.0,50000.0,RUR,Санкт-Петербург,2022-12-05T09:17:21+0300
Наладчик станков с ЧПУ,80400.0,,RUR,Набережные Челны,2022-12-05T09:38:31+0300
Программист - консультант 1С,50000.0,100000.0,RUR,Якутск,2022-12-05T06:22:33+0300
Кабельщик-спайщик,,33000.0,RUR,Липецк,2022-12-05T09:50:25+0300
Механик-водитель,,90000.0,RUR,Нижний Новгород,2022-12-05T10:16:41+0300
Токарь на 16К20,88000.0,,RUR,Новоульяновск,2022-12-05T10:07:52+0300
Механик ремонтной мастерской,124000.0,124000.0,RUR,Омск,2022-12-05T11:58:01+0300
Дизайнер (удаленно),35000.0,,RUR,Новосибирск,2022-12-05T05:21:59+0300
Оператор-наладчик ЧПУ (Фрезерный HAAS VF-4 +4ось),60000.0,80000.0,RUR,Первоуральск,2022-12-05T07:24:37+0300
Токарь-универсал,70000.0,110000.0,RUR,Уфа,2022-12-05T07:52:49+0300
